Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Aircraft_Category,Make,Model,Number_of_Engines,Engine_Type,Purpose_of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Report_Status
20190313X23730,Accident,WPR19FA095B,3/13/19,"Compton, CA",United States,33.889444,-118.240833,CPM,Compton/Woodley,Fatal,Destroyed,Airplane,Cessna,152,1,Reciprocating,Instructional,1,1,0,1,VMC,LANDING,Preliminary
20190313X23730,Accident,WPR19FA095A,3/13/19,"Compton, CA",United States,33.889444,-118.240833,CPM,Compton/Woodley,Fatal,Minor,Airplane,North American,T28,1,Reciprocating,Personal,1,1,0,1,VMC,LANDING,Preliminary
20190315X92147,Accident,GAA19CA168,3/13/19,"Keene, NH",United States,42.898333,-72.270834,EEN,DILLANT-HOPKINS,Non-Fatal,Substantial,Helicopter,Hughes,TH 55,1,Reciprocating,Personal,0,0,0,1,VMC,CRUISE,Probable Cause
20190313X71918,Accident,ERA19TA129,3/13/19,"St. Petersburg, FL",United States,27,-82,SPG,Albert Whitted,Non-Fatal,Substantial,Airplane,Beech,E55,2,Reciprocating,Personal,0,0,0,2,VMC,LANDING,Factual
20190313X85945,Accident,ERA19LA160,3/13/19,"Easton, MD",United States,38.779723,-76.088055,ESN,Easton/Newnam Field,Non-Fatal,Substantial,Airplane,Piper,PA28R,1,Reciprocating,Instructional,0,0,0,2,VMC,APPROACH,Factual
20190313X90152,Accident,ERA19LA131,3/13/19,"Brevard, NC",United States,35.269723,-82.643611,3NR3,Transylvania Community,Non-Fatal,Substantial,Airplane,Cessna,182,1,Reciprocating,Personal,0,0,0,1,VMC,TAKEOFF,Factual
20190313X90607,Accident,ERA19LA126,3/13/19,"Ponte Vedra Beach, FL",United States,30.206111,-81.403333,Unknown,Unknown,Non-Fatal,Substantial,Helicopter,Bell,OH 58A,0,Turbo Shaft,Public Aircraft - Local,0,0,0,2,VMC,MANEUVERING,Preliminary
20190313X14450,Accident,GAA19CA165,3/12/19,"Akron, CO",United States,40.175556,-103.221945,AKO,Colorado Plains Rgnl,Non-Fatal,Substantial,Airplane,Cirrus,SR20,1,Reciprocating,Instructional,0,0,0,1,VMC,LANDING,Probable Cause
20190312X50739,Accident,ERA19LA123,3/12/19,"Latrobe, PA",United States,40.273056,-79.408333,LBE,Arnold Palmer Rgnl,Non-Fatal,Substantial,Airplane,Beech,A100,2,Turbo Prop,Business,0,0,0,4,VMC,LANDING,Factual
20190312X95456,Accident,ERA19FA124,3/12/19,"Madeira, OH",United States,39.179445,-84.380278,Unknown,Unknown,Fatal,Substantial,Airplane,Piper,PA31,2,Reciprocating,Aerial Observation,1,0,0,0,VMC,DESCENT,Preliminary
20190312X02726,Accident,CEN19LA098,3/12/19,"Waterloo, IL",United States,38.362778,-90.1,CPS,St Louis Downtown,Non-Fatal,Substantial,Airplane,Piper,PA32R,1,Reciprocating,Personal,0,1,2,0,VMC,Unknown,Preliminary
20190313X04852,Accident,GAA19CA172,3/11/19,"Oskaloosa, IA",United States,41.226111,-92.493889,OOA,Oskaloosa Muni,Non-Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,Instructional,0,0,0,1,VMC,LANDING,Probable Cause
20190311X02433,Accident,GAA19CA163,3/11/19,"PARMA, ID",United States,43.778889,-116.938611,50S,Parma,Non-Fatal,Substantial,Airplane,Air Tractor,AT 400A,1,Turbo Prop,Aerial Application,0,0,0,1,VMC,LANDING,Probable Cause
20190311X60909,Accident,GAA19CA161,3/11/19,"Benton, KS",United States,37.774445,-97.113333,1K1,Lloyd Stearman Field,Non-Fatal,Substantial,Airplane,Cessna,L19,1,Reciprocating,Instructional,0,0,1,1,VMC,LANDING,Probable Cause
20190310X35358,Accident,CEN19FA095,3/10/19,"Galliano, LA",United States,29.422778,-90.178334,Unknown,Unknown,Fatal,Destroyed,Helicopter,BELL,407,1,Unknown,Unknown,2,0,0,0,Unknown,Unknown,Preliminary
20190309X73146,Accident,GAA19CA171,3/9/19,"Chandler, AZ",United States,33.270834,-111.806944,CHD,CHANDLER MUNI,Non-Fatal,Substantial,Airplane,Cessna,T210,1,Reciprocating,Personal,0,0,0,1,VMC,LANDING,Probable Cause
20190309X35055,Accident,GAA19CA166,3/9/19,"Land O' Lakes, WI",United States,46.189166,-89.250556,LNL,KINGS LAND O'LAKES,Non-Fatal,Substantial,Airplane,Cessna,177RG,1,Reciprocating,Personal,0,0,2,0,VMC,Unknown,Probable Cause
20190309X72957,Accident,GAA19CA159,3/9/19,"Pullman, WA",United States,46.735833,-117.088055,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Piper,PA18,1,Reciprocating,Personal,0,0,1,0,VMC,LANDING,Probable Cause
20190312X51344,Accident,ERA19TA122,3/9/19,"Chamblee, GA",United States,33.872778,-84.300556,PDK,Dekalb-Peachtree,Non-Fatal,Substantial,Airplane,Gulfstream,GIV,2,Turbo Fan,Executive/Corporate,0,0,0,14,VMC,LANDING,Factual
20190310X00926,Accident,ERA19LA194,3/9/19,"Mount Holly, NJ",United States,39,-74,VAY,South Jersey Regional,Non-Fatal,Substantial,Airplane,Cessna,172,1,Reciprocating,Personal,0,0,0,2,VMC,LANDING,Factual
20190309X14003,Accident,CEN19FA094,3/9/19,"Longview, TX",United States,32.461111,-94.539166,Unknown,Unknown,Fatal,Destroyed,Airplane,Cessna,T337,2,Reciprocating,Personal,4,0,0,0,IMC,CRUISE,Probable Cause
20190309X93709,Accident,WPR19FA093,3/8/19,"Pahokee, FL",United States,26.790277,-80.692777,Unknown,Unknown,Fatal,Destroyed,Airplane,Piper,PA23,0,Reciprocating,Unknown,5,0,0,0,VMC,CRUISE,Preliminary
20190309X20712,Accident,GAA19CA160,3/8/19,"Rushville, NE",United States,42.459167,-102.501111,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Piper,PA18,1,Reciprocating,Personal,0,0,0,1,VMC,Unknown,Probable Cause
20190311X63755,Accident,ERA19LA125,3/8/19,"Orlando, FL",United States,28.822778,-81.808333,LEE,Leesburg Intl,Non-Fatal,Substantial,Airplane,Piper,PA31,2,Reciprocating,Flight Test,0,0,0,1,Unknown,TAXI,Preliminary
20190307X15558,Accident,GAA19CA158,3/7/19,"Wyndmere, ND",United States,46.459167,-97.185277,Unknown,Unknown,Non-Fatal,Substantial,Airplane,Piper,PA18,1,Reciprocating,Other Work Use,0,0,0,2,VMC,MANEUVERING,Probable Cause
20190308X14357,Accident,GAA19CA157,3/7/19,"Superior, WI",United States,46.695,-92.095,SUW,RICHARD I BONG,Non-Fatal,Substantial,Airplane,Piper,PA22,1,Reciprocating,Personal,0,0,0,2,VMC,LANDING,Probable Cause
20190307X12249,Accident,GAA19CA156,3/7/19,"Marysville, OH",United States,40.224445,-83.351667,MRT,Union County,Non-Fatal,Substantial,Airplane,James A Gray,Just Aircraft,1,Reciprocating,Instructional,0,0,0,1,VMC,LANDING,Probable Cause
